opentime,open,high,low,close,volume_USDT,value,signal,position,entry_price,stop_price,stop_loss,stop_profit,unrealized_pnl,realized_pnl,commission
2023-11-28 07:30:00,2003.59,2009.84,2003.15,2006.45,20154194.2022,109873.59279999998,0.0,-40.0,2026.09,0.0,2023.402093590296,1995.3099183410484,785.5999999999949,0.0,0.0
2023-11-28 07:35:00,2006.46,2008.26,2004.99,2006.72,12330995.3927,109873.59279999998,0.0,-40.0,2026.09,0.0,2023.1315011510999,1995.0393259018522,774.7999999999956,0.0,0.0
2023-11-28 07:40:00,2006.72,2010.54,2006.25,2009.78,7929626.85501,109873.59279999998,0.0,-40.0,2026.09,0.0,2023.7372122247493,1995.6450369755016,652.3999999999978,0.0,0.0
2023-11-28 07:45:00,2009.78,2010.92,2007.22,2010.73,11448897.19166,109873.59279999998,0.0,-40.0,2026.09,0.0,2024.4770297349046,1996.384854485657,614.399999999996,0.0,0.0
2023-11-28 07:50:00,2010.74,2015.72,2009.94,2015.61,25774685.36069,109873.59279999998,0.0,-40.0,2026.09,0.0,2026.3623169226942,1998.2701416734465,419.2000000000007,0.0,0.0
2023-11-28 07:55:00,2015.6,2017.1,2013.58,2014.17,20042490.18255,109873.59279999998,0.0,-40.0,2026.09,0.0,2027.473555563689,1999.3813803144412,476.7999999999938,0.0,0.0
2023-11-28 08:00:00,2014.18,2015.7,2011.74,2013.79,15492947.26735,109873.59279999998,0.0,-40.0,2026.09,0.0,2028.2452638715079,2000.1530886222602,491.9999999999982,0.0,0.0
2023-11-28 08:05:00,2013.75,2013.86,2010.1,2010.1,7466264.13837,109873.59279999998,0.0,-40.0,2026.09,0.0,2027.8658538058135,1999.7736785565658,639.6000000000004,0.0,0.0
2023-11-28 08:10:00,2010.09,2011.6,2008.43,2009.13,16710137.92221,109873.59279999998,0.0,-40.0,2026.09,0.0,2027.0986541819448,1999.3497231101878,678.3999999999924,0.0,0.0
2023-11-28 08:15:00,2009.16,2009.54,2007.25,2007.85,7688921.49568,109873.59279999998,0.0,-40.0,2026.09,0.0,2026.2964034570384,1998.5474723852815,729.6000000000004,0.0,0.0
2023-11-28 08:20:00,2007.84,2010.59,2007.84,2008.5,6536407.54058,109873.59279999998,0.0,-40.0,2026.09,0.0,2025.8265892220859,1998.077658150329,703.5999999999967,0.0,0.0
2023-11-28 08:25:00,2008.51,2009.92,2008.16,2009.71,6046974.88721,109873.59279999998,0.0,-40.0,2026.09,0.0,2025.772438821283,1998.023507749526,655.1999999999953,0.0,0.0
2023-11-28 08:30:00,2009.7,2014.11,2009.28,2013.81,17661323.49367,109873.59279999998,0.0,-40.0,2026.09,0.0,2026.8162077761972,1999.0672767044402,491.1999999999989,0.0,0.0
2023-11-28 08:35:00,2013.8,2015.6,2012.85,2013.58,11418865.1379,109873.59279999998,0.0,-40.0,2026.09,0.0,2027.5802079117425,1999.8312768399855,500.39999999999964,0.0,0.0
2023-11-28 08:40:00,2013.58,2014.2,2008.28,2009.58,10037335.5349,109873.59279999998,0.0,-40.0,2026.09,0.0,2027.1181738098833,1999.3692427381263,660.3999999999996,0.0,0.0
2023-11-28 08:45:00,2009.58,2010.37,2005.76,2005.8,13974804.6399,109873.59279999998,-1.0,-40.0,2026.09,0.0,2025.3296348409833,1998.3015444849511,811.5999999999985,0.0,0.0
2023-11-28 08:50:00,2005.81,2007.98,2005.42,2006.76,9497660.89885,109873.59279999998,0.0,-40.0,2026.09,0.0,2024.1178007169433,1997.7402882434849,773.1999999999971,0.0,0.0
2023-11-28 08:55:00,2006.75,2008.16,2006.03,2006.28,9638224.72522,109873.59279999998,0.0,-40.0,2026.09,0.0,2023.3266242175494,1996.949111744091,792.3999999999978,0.0,0.0
2023-11-28 09:00:00,2006.28,2009.6,2005.56,2009.31,10529914.38271,109873.59279999998,0.0,-40.0,2026.09,0.0,2023.5089484231576,1997.1314359496992,671.1999999999989,0.0,0.0
