opentime,value,unrealized_pnl,realized_pnl,commission
2024-05-18 07:00:00,2956.7791991940726,-0.6656000000000931,0.0,0.0
2024-05-18 07:01:00,2955.9231505540724,0.29439999999990685,0.0,0.8560486400000001
2024-05-18 07:02:00,2955.9231505540724,1.3823999999994412,0.0,0.0
2024-05-18 07:03:00,2955.9231505540724,1.8175999999996275,0.0,0.0
2024-05-18 07:04:00,2955.9231505540724,2.56,0.0,0.0
2024-05-18 07:05:00,2955.9231505540724,2.867199999999255,0.0,0.0
2024-05-18 07:06:00,2955.9231505540724,2.7327999999998136,0.0,0.0
2024-05-18 07:07:00,2955.9231505540724,2.547199999999255,0.0,0.0
2024-05-18 07:08:00,2955.9231505540724,1.0623999999994411,0.0,0.0
2024-05-18 07:09:00,2955.9231505540724,1.952,0.0,0.0
2024-05-18 07:10:00,2955.9231505540724,0.8831999999992549,0.0,0.0
2024-05-18 07:11:00,2955.9231505540724,0.4095999999996275,0.0,0.0
2024-05-18 07:12:00,2955.9231505540724,0.24959999999962748,0.0,0.0
2024-05-18 07:13:00,2955.9231505540724,0.1023999999994412,0.0,0.0
2024-05-18 07:14:00,2955.9231505540724,0.5695999999996275,0.0,0.0
2024-05-18 07:15:00,2955.9231505540724,0.12159999999962748,0.0,0.0
2024-05-18 07:16:00,2955.9231505540724,-1.0624000000003726,0.0,0.0
2024-05-18 07:17:00,2955.9231505540724,-2.361600000000559,0.0,0.0
2024-05-18 07:18:00,2955.9231505540724,-2.7264000000003725,0.0,0.0
2024-05-18 07:19:00,2955.9231505540724,-4.409600000000559,0.0,0.0
2024-05-18 07:20:00,2955.9231505540724,-2.8032000000001864,0.0,0.0
2024-05-18 07:21:00,2955.0666129540723,-2.1504000000003725,0.0,0.8565376000000001
2024-05-18 07:22:00,2955.0666129540723,-6.297600000000559,0.0,0.0
2024-05-18 07:23:00,2955.0666129540723,-21.46560000000056,0.0,0.0
2024-05-18 07:24:00,2955.0666129540723,-30.84480000000028,0.0,0.0
2024-05-18 07:25:00,2955.0666129540723,-22.147200000001117,0.0,0.0
2024-05-18 07:26:00,2954.206569434072,-28.44480000000028,0.0,0.86004352
2024-05-18 07:27:00,2954.206569434072,-25.449600000001492,0.0,0.0
2024-05-18 07:28:00,2954.206569434072,-22.915200000001118,0.0,0.0
2024-05-18 07:29:00,2954.206569434072,-24.873600000001492,0.0,0.0
2024-05-18 07:30:00,2954.206569434072,-19.56160000000149,0.0,0.0
2024-05-18 07:31:00,2954.206569434072,-18.21760000000149,0.0,0.0
2024-05-18 07:32:00,2954.206569434072,-13.814400000002236,0.0,0.0
2024-05-18 07:33:00,2954.206569434072,-15.696000000001863,0.0,0.0
2024-05-18 07:34:00,2954.206569434072,-11.843200000001119,0.0,0.0
2024-05-18 07:35:00,2954.206569434072,-9.12960000000149,0.0,0.0
2024-05-18 07:36:00,2954.206569434072,-8.48960000000149,0.0,0.0
2024-05-18 07:37:00,2954.206569434072,-7.363200000001118,0.0,0.0
2024-05-18 07:38:00,2954.206569434072,-7.299200000001118,0.0,0.0
2024-05-18 07:39:00,2954.206569434072,-7.836800000000745,0.0,0.0
2024-05-18 07:40:00,2954.206569434072,-10.512000000001862,0.0,0.0
2024-05-18 07:41:00,2954.206569434072,-14.787200000001118,0.0,0.0
2024-05-18 07:42:00,2954.206569434072,-15.043200000001118,0.0,0.0
2024-05-18 07:43:00,2954.206569434072,-13.507200000001118,0.0,0.0
2024-05-18 07:44:00,2954.206569434072,-2.2432000000011176,0.0,0.0
2024-05-18 07:45:00,2954.206569434072,-2.2560000000018627,0.0,0.0
2024-05-18 07:46:00,2954.206569434072,-1.0912000000011177,0.0,0.0
2024-05-18 07:47:00,2954.206569434072,3.9647999999988826,0.0,0.0
2024-05-18 07:48:00,2954.206569434072,4.24639999999851,0.0,0.0
2024-05-18 07:49:00,2954.206569434072,8.431999999998137,0.0,0.0
2024-05-18 07:50:00,2954.206569434072,10.07039999999851,0.0,0.0
2024-05-18 07:51:00,2954.206569434072,8.79039999999851,0.0,0.0
2024-05-18 07:52:00,2954.206569434072,10.83839999999851,0.0,0.0
2024-05-18 07:53:00,2954.206569434072,10.428799999998883,0.0,0.0
2024-05-18 07:54:00,2951.0566878340724,9.17439999999851,-2.2935999999996275,0.8562816000000001
2024-05-18 07:55:00,2951.0566878340724,8.723999999998604,0.0,0.0
2024-05-18 07:56:00,2951.0566878340724,13.293599999999161,0.0,0.0
2024-05-18 07:57:00,2951.0566878340724,15.712799999998882,0.0,0.0
2024-05-18 07:58:00,2951.0566878340724,15.904799999998882,0.0,0.0
2024-05-18 07:59:00,2946.534555354073,10.999199999998323,-3.666399999999441,0.8557324800000001
2024-05-18 08:00:00,2946.534555354073,9.508799999998883,0.0,0.0
2024-05-18 08:01:00,2946.534555354073,9.265599999999628,0.0,0.0
2024-05-18 08:02:00,2946.534555354073,8.433599999999627,0.0,0.0
2024-05-18 08:03:00,2946.534555354073,7.287999999999069,0.0,0.0
2024-05-18 08:04:00,2946.534555354073,6.923199999999255,0.0,0.0
2024-05-18 08:05:00,2946.534555354073,5.399999999999069,0.0,0.0
2024-05-18 08:06:00,2946.534555354073,3.4479999999990687,0.0,0.0
2024-05-18 08:07:00,2946.534555354073,2.2447999999988824,0.0,0.0
2024-05-18 08:08:00,2946.534555354073,1.1951999999992549,0.0,0.0
2024-05-18 08:09:00,2946.534555354073,1.7583999999994413,0.0,0.0
2024-05-18 08:10:00,2946.534555354073,2.2127999999988823,0.0,0.0
2024-05-18 08:11:00,2946.534555354073,0.1839999999990687,0.0,0.0
2024-05-18 08:12:00,2946.534555354073,-0.7120000000009313,0.0,0.0
2024-05-18 08:13:00,2946.534555354073,-1.0960000000009313,0.0,0.0
2024-05-18 08:14:00,2946.534555354073,-0.46880000000074507,0.0,0.0
2024-05-18 08:15:00,2946.534555354073,-3.412800000000745,0.0,0.0
2024-05-18 08:16:00,2946.534555354073,-2.7344000000003725,0.0,0.0
2024-05-18 08:17:00,2946.534555354073,-3.5024000000003728,0.0,0.0
2024-05-18 08:18:00,2946.534555354073,-3.540800000000745,0.0,0.0
