opentime,open,high,low,close,volume,closetime,volume_U,num_trade,taker_buy,taker_buy_volume_U,ignore
2024-05-29 15:23:00,67820.1,67863.5,67798.3,67852.6,483.726,2024-05-29 15:23:59,32815225.8135,5149,317.257,21521774.8332,0.0
2024-05-29 15:24:00,67852.7,67910.1,67834.6,67847.6,417.775,2024-05-29 15:24:59,28355258.1957,4511,262.911,17845408.6677,0.0
2024-05-29 15:25:00,67847.7,67859.6,67800.9,67802.4,141.711,2024-05-29 15:25:59,9611095.6199,1981,33.616,2279930.8917,0.0
2024-05-29 15:26:00,67802.3,67850.0,67800.8,67818.2,93.746,2024-05-29 15:26:59,6358062.912,1578,44.993,3051449.8678,0.0
2024-05-29 15:27:00,67818.2,67836.8,67791.1,67827.7,136.144,2024-05-29 15:27:59,9232627.0909,2128,83.193,5642026.1876,0.0
2024-05-29 15:28:00,67827.6,67861.8,67821.5,67857.1,153.658,2024-05-29 15:28:59,10424588.2493,1703,109.784,7448330.3837,0.0
2024-05-29 15:29:00,67857.1,67857.1,67636.0,67708.2,633.719,2024-05-29 15:29:59,42911160.253,7073,243.177,16460034.4731,0.0
2024-05-29 15:30:00,67708.2,67733.3,67667.5,67711.9,213.095,2024-05-29 15:30:59,14427109.7505,3750,132.999,9004542.9652,0.0
2024-05-29 15:31:00,67711.8,67731.6,67641.0,67670.2,369.952,2024-05-29 15:31:59,25033199.5991,4157,157.848,10681138.2607,0.0
2024-05-29 15:32:00,67670.1,67679.1,67567.1,67579.7,249.327,2024-05-29 15:32:59,16858611.8985,3721,77.57,5245039.3943,0.0
2024-05-29 15:33:00,67579.7,67608.5,67512.1,67533.4,372.719,2024-05-29 15:33:59,25176723.6036,5245,190.852,12892349.2381,0.0
2024-05-29 15:34:00,67533.5,67565.1,67451.6,67460.4,369.94,2024-05-29 15:34:59,24970638.7774,5094,115.78,7816162.2706,0.0
2024-05-29 15:35:00,67460.5,67481.9,67420.0,67455.1,432.542,2024-05-29 15:35:59,29174664.2365,5876,193.389,13043906.0957,0.0
2024-05-29 15:36:00,67455.0,67536.4,67454.1,67531.2,297.678,2024-05-29 15:36:59,20091973.8681,4429,224.722,15167301.3012,0.0
2024-05-29 15:37:00,67531.2,67570.9,67517.5,67562.2,152.859,2024-05-29 15:37:59,10324903.9788,2651,99.993,6753863.2488,0.0
2024-05-29 15:38:00,67562.2,67562.2,67441.9,67445.1,352.144,2024-05-29 15:38:59,23764683.3089,3601,78.001,5263657.4687,0.0
2024-05-29 15:39:00,67445.1,67497.5,67418.0,67484.0,225.959,2024-05-29 15:39:59,15240581.3786,2703,81.911,5525589.1358,0.0
2024-05-29 15:40:00,67484.0,67484.0,67429.5,67437.2,139.198,2024-05-29 15:40:59,9388495.2148,2100,49.43,3333615.7233,0.0
2024-05-29 15:41:00,67437.3,67450.0,67411.2,67440.8,170.779,2024-05-29 15:41:59,11515799.7784,2489,78.191,5272604.1405,0.0
2024-05-29 15:42:00,67440.8,67471.6,67438.7,67468.1,90.659,2024-05-29 15:42:59,6115439.166,1816,70.113,4729524.5293,0.0
2024-05-29 15:43:00,67468.1,67532.5,67450.0,67495.0,161.937,2024-05-29 15:43:59,10931954.1077,2851,108.828,7346587.2327,0.0
2024-05-29 15:44:00,67495.0,67527.7,67485.8,67491.4,53.142,2024-05-29 15:44:59,3587220.0289,1370,28.217,1904724.9993,0.0
